municipality_code,municipality_name,race_population_total,diagnostic__race_ignored_count,diagnostic__race_ignored_share,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_share_sum,diagnostic__race_share_residual
1503507,Irituia,30955.0,1,3.2304958811177516e-05,0.13645614601841383,0.09765789048618963,0.7643676304312712,0.0010983685995800355,0.0003876595057341302,0.9999676950411889,3.230495881112461e-05
1503606,Itaituba,123314.0,3,2.4328137924323273e-05,0.19348979029145108,0.10606257197074136,0.6828259565012894,0.0010947662065945473,0.016502586891999287,0.9999756718620756,2.432813792441202e-05
1503705,Itupiranga,49754.0,0,0.0,0.1831410539856092,0.1260200184909756,0.6807090887164851,0.0012461309643445754,0.008883707842585522,0.9999999999999999,1.1102230246251565e-16
1503754,Jacareacanga,24042.0,0,0.0,0.07711504866483654,0.05049496714083687,0.29702187837950256,0.0007070959154812412,0.5746610098993428,1.0,0.0
1503804,Jacundá,37707.0,3,7.956082425013923e-05,0.2073620282706129,0.1190229930782083,0.6707773092529239,0.0016442570345028774,0.0011138515395019493,0.9999204391757499,7.956082425009114e-05
1503903,Juruti,50881.0,0,0.0,0.12265875277608537,0.04988109510426289,0.8239028320984257,0.0013561054224563197,0.0022012145987696783,1.0,0.0
1504000,Limoeiro do Ajuru,29569.0,0,0.0,0.172883763400859,0.03875680611451182,0.7878521424464812,6.763840508640807e-05,0.0004396496330616524,1.0,0.0
1504059,Mãe do Rio,34353.0,1,2.9109539195994526e-05,0.19215206823275988,0.08467964952114808,0.7213052717375484,0.0014554769597997263,0.00037842400954792883,0.9999708904608041,2.9109539195881773e-05
1504109,Magalhães Barata,8115.0,0,0.0,0.16192236598890944,0.046703635243376465,0.7912507701786815,0.0,0.00012322858903265557,1.0,0.0
1504208,Marabá,266533.0,10,3.751880630165871e-05,0.1821463008332927,0.09907591180079015,0.7156712302041398,0.0009980002476241215,0.0020710381078515605,0.9999624811936983,3.751880630165072e-05
1504307,Maracanã,25971.0,1,3.850448577259251e-05,0.16476069462092333,0.0524046051364984,0.7819876015555812,0.00019252242886296254,0.0006160717723614802,0.9999614955142273,3.850448577269461e-05
1504406,Marapanim,26573.0,0,0.0,0.15677567455688105,0.052120573514469574,0.790765062281263,7.526436608587664e-05,0.00026342528130056825,1.0,0.0
1504422,Marituba,111785.0,4,3.578297624904951e-05,0.20132397012121483,0.10069329516482534,0.6960593997405734,0.0010466520552846984,0.0008408999418526636,0.9999642170237508,3.578297624917681e-05
1504455,Medicilândia,27094.0,0,0.0,0.201557540414852,0.09688491917029601,0.6983095888388573,0.002583597844541227,0.0006643537314534584,1.0,0.0
1504505,Melgaço,27881.0,1,3.586671927118826e-05,0.13736953480865105,0.11029016175890391,0.7514077687313941,0.0005021340697966357,0.0003945339119830709,0.9999641332807288,3.586671927124918e-05
1504604,Mocajuba,27198.0,0,0.0,0.18630046326935804,0.11647915287888816,0.695271711155232,0.00022060445621001543,0.0017280682403117875,1.0,0.0
1504703,Moju,84094.0,1,1.1891454800580302e-05,0.1322805432016553,0.13172164482602802,0.7323709182581397,0.0008799676552429424,0.0027350346041334697,0.9999881085451994,1.1891454800627699e-05
1504752,Mojuí dos Campos,23501.0,0,0.0,0.14892983277307348,0.05535934641079103,0.792732224160674,0.0011063359005999745,0.0018722607548614953,1.0,0.0
1504802,Monte Alegre,60012.0,0,0.0,0.1693494634406452,0.05947143904552423,0.7685462907418517,0.001682996733986536,0.0009498100379924015,1.0,0.0
1504901,Muaná,45368.0,0,0.0,0.13330982190089932,0.04736818903191677,0.8192117792276494,8.816787162757891e-05,2.2041967906894727e-05,1.0,0.0
1504950,Nova Esperança do Piriá,20478.0,0,0.0,0.1560210958101377,0.06919621056743823,0.7720480515675359,0.0011719894520949312,0.0015626526027932416,1.0,0.0
