municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability,e2sfca_score__creas,e2sfca_score__health,e2sfca_score__specialized_justice,e2sfca_score__specialized_security,e2sfca_percentile__creas,e2sfca_percentile__health,e2sfca_percentile__specialized_justice,e2sfca_percentile__specialized_security,e2sfca_services_observed,e2sfca_complete_service_coverage,e2sfca_mean_within_service_percentile_complete_only,integrated_descriptive_pattern,promethee_top_quartile_and_lower_e2sfca
1502939,Dom Eliseu,1,81,-0.0029341604512423,False,False,0.0043,2.9280353587493013e-05,0.0,0.0,3.437634937913922e-07,0.25874125874125875,0.1048951048951049,0.24125874125874125,0.23076923076923078,4,True,0.2089160839160839,Lower E2SFCA accessibility quartile,False
1503077,Garrafão do Norte,2,82,-0.0030080276160496,False,False,0.0,3.443659577847771e-05,2.3620607241237824e-05,7.923974164358361e-09,1.176754696163418e-06,0.3916083916083916,0.7902097902097902,0.48951048951048953,0.2517482517482518,4,True,0.48076923076923084,Intermediate E2SFCA accessibility,False
1504109,Magalhães Barata,2,83,-0.0032889485175537,False,False,0.0001,2.9621684278106027e-05,7.689778405266363e-06,1.0378592988790273e-06,1.9248778403135463e-06,0.27972027972027974,0.3916083916083916,0.6503496503496503,0.2867132867132867,4,True,0.4020979020979021,Intermediate E2SFCA accessibility,False
1507102,São Caetano de Odivelas,2,84,-0.0064900141923871,False,False,0.0,1.7266665329651738e-05,4.40187654769731e-06,2.629727390839768e-06,2.735194004978302e-06,0.06293706293706294,0.34265734265734266,0.7972027972027972,0.36363636363636365,4,True,0.39160839160839167,Intermediate E2SFCA accessibility,False
1504406,Marapanim,2,85,-0.0078765413707083,False,False,0.0,2.103164329916827e-05,5.227714016078614e-06,1.6395106819347189e-06,2.260378279125657e-06,0.1258741258741259,0.34965034965034963,0.6923076923076923,0.3006993006993007,4,True,0.36713286713286714,Lower E2SFCA accessibility quartile,False
1503804,Jacundá,1,86,-0.0081059108664227,False,False,0.0045,2.9400534169961945e-05,4.142455296984605e-06,2.6444075886659085e-06,2.7717477068825174e-06,0.2727272727272727,0.3006993006993007,0.8181818181818182,0.3706293706293706,4,True,0.4405594405594406,Intermediate E2SFCA accessibility,False
1507953,Tailândia,1,87,-0.0105492263458496,False,False,0.0045,3.76063307767468e-05,1.065014092532202e-05,0.0,4.857965210057708e-07,0.42657342657342656,0.5104895104895105,0.24125874125874125,0.23776223776223776,4,True,0.354020979020979,Lower E2SFCA accessibility quartile,False
1506559,Santa Luzia do Pará,2,88,-0.0117057109093074,False,False,0.0,4.902938044966853e-05,1.3907685114987983e-05,6.689645373944025e-07,3.89933975531906e-06,0.6293706293706294,0.6013986013986014,0.6223776223776224,0.4965034965034965,4,True,0.5874125874125875,Intermediate E2SFCA accessibility,False
1502301,Capitão Poço,2,89,-0.0128805100312261,False,False,0.0,5.441122477584188e-05,2.4476043409543945e-05,5.528856941474857e-07,4.0150037787067055e-06,0.7062937062937062,0.8111888111888111,0.5524475524475524,0.5454545454545454,4,True,0.6538461538461539,Higher E2SFCA accessibility quartile,False
1507300,São Félix do Xingu,3,90,-0.0152759996342501,False,False,0.2372,3.2866051179548115e-05,7.92883941866893e-06,0.0,1.545125495006465e-05,0.34965034965034963,0.4195804195804196,0.24125874125874125,0.951048951048951,4,True,0.49038461538461536,Intermediate E2SFCA accessibility,False
1502905,Curuçá,2,91,-0.0154426125414361,False,False,0.0,2.0621500368894537e-05,8.026798335722742e-06,2.526432620925114e-06,3.2421950058504647e-06,0.1048951048951049,0.42657342657342656,0.7692307692307693,0.4405594405594406,4,True,0.43531468531468537,Intermediate E2SFCA accessibility,False
